Sa,Collapse,Demolishment,Repair,Total
0.01,0.0,0.0,0.07893310505461622,0.07893310505461622
0.05030303030303031,0.0,0.0,1.7840169659929657,1.7840169659929657
0.0906060606060606,0.0,0.0,4.365015875981033,4.365015875981033
0.13090909090909092,0.0,0.0,7.011872468561192,7.011872468561192
0.17121212121212123,0.0,0.0,9.479848042115986,9.479848042115986
0.21151515151515154,0.0,0.0,11.831333513558308,11.831333513558308
0.25181818181818183,0.0,0.0,13.767719396585726,13.767719396585726
0.29212121212121217,0.0,0.0,15.669487797331556,15.669487797331556
0.33242424242424246,0.0,0.5,17.26063660904216,17.76063660904216
0.37272727272727274,0.0,0.7,18.675836526477703,19.375836526477702
0.4130303030303031,0.0,3.7,19.30942957602364,23.00942957602364
0.45333333333333337,0.0,9.3,19.22203308793873,28.52203308793873
0.49363636363636365,0.0,12.4,19.8933505432664,32.2933505432664
0.5339393939393939,0.0,21.6,18.68224773506051,40.28224773506051
0.5742424242424243,0.0,34.2,16.30221386432773,50.50221386432773
0.6145454545454546,0.0,48.1,13.425929002494591,61.52592900249459
0.6548484848484849,0.0,55.0,11.745818847613302,66.7458188476133
0.6951515151515152,0.0,64.4,9.762955840912632,74.16295584091264
0.7354545454545455,0.0,75.4,6.812459778854397,82.2124597788544
0.7757575757575759,0.0,78.8,6.027781356969272,84.82778135696927
0.8160606060606062,0.0,88.0,3.4224857329364538,91.42248573293645
0.8563636363636364,0.0,91.6,2.5005442655746934,94.10054426557468
0.8966666666666667,0.0,94.2,1.69097292990984,95.89097292990982
0.936969696969697,0.0,95.2,1.439595753535263,96.63959575353526
0.9772727272727273,0.0,97.5,0.7789140259723475,98.27891402597236
1.0175757575757576,0.0,97.8,0.6831708087704379,98.48317080877044
1.0578787878787879,0.0,98.5,0.4708143525570185,98.97081435255701
1.0981818181818184,0.0,99.1,0.2933490991895919,99.39334909918959
1.1384848484848487,0.1,99.5,0.14188552496974016,99.74188552496973
1.178787878787879,0.1,99.5,0.1191690391485432,99.71916903914854
1.2190909090909092,0.3,99.6,0.03638742489859123,99.9363874248986
1.2593939393939395,0.1,99.8,0.04081053129606984,99.94081053129607
1.2996969696969698,0.0,99.8,0.07453411650172188,99.87453411650172
1.34,0.5,99.4,0.03872247589099901,99.938722475891
1.3803030303030304,0.6,99.4,0.0,100.0
1.4206060606060606,0.3,99.7,0.0,100.0
1.460909090909091,0.4,99.6,0.0,100.0
1.5012121212121212,1.2,98.8,0.0,100.0
1.5415151515151517,1.1,98.9,0.0,100.0
1.581818181818182,2.3,97.7,0.0,100.0
1.6221212121212123,2.3,97.7,0.0,100.0
1.6624242424242426,2.4,97.6,0.0,100.0
1.7027272727272729,3.9,96.1,0.0,100.0
1.7430303030303032,3.4,96.5,0.034394745008057594,99.93439474500806
1.7833333333333334,4.2,95.8,0.0,100.0
1.8236363636363637,5.5,94.5,0.0,100.0
1.863939393939394,6.1,93.9,0.0,100.0
1.9042424242424243,5.1,94.9,0.0,100.0
1.9445454545454546,6.2,93.8,0.0,100.0
1.984848484848485,9.2,90.8,0.0,100.0
2.025151515151515,8.0,92.0,0.0,100.0
2.0654545454545454,9.9,90.1,0.0,100.0
2.1057575757575755,12.7,87.3,0.0,100.0
2.146060606060606,12.2,87.8,0.0,100.0
2.1863636363636365,15.3,84.7,0.0,100.0
2.2266666666666666,15.1,84.9,0.0,100.0
2.266969696969697,16.6,83.4,0.0,100.0
2.307272727272727,20.8,79.2,0.0,100.0
2.3475757575757576,23.0,77.0,0.0,100.0
2.3878787878787877,23.4,76.6,0.0,100.0
2.428181818181818,26.2,73.8,0.0,100.0
2.4684848484848483,25.1,74.9,0.0,100.0
2.508787878787879,27.1,72.9,0.0,100.0
2.549090909090909,32.6,67.4,0.0,100.0
2.5893939393939394,31.1,68.9,0.0,100.0
2.62969696969697,31.7,68.3,0.0,100.0
2.67,34.0,66.0,0.0,100.0
2.7103030303030304,36.8,63.2,0.0,100.0
2.7506060606060605,39.0,61.0,0.0,100.0
2.790909090909091,38.5,61.5,0.0,100.0
2.831212121212121,40.3,59.7,0.0,100.0
2.8715151515151516,45.0,55.0,0.0,100.0
2.9118181818181816,46.4,53.6,0.0,100.0
2.952121212121212,49.8,50.2,0.0,100.0
2.992424242424242,48.9,51.1,0.0,100.0
3.0327272727272727,50.9,49.1,0.0,100.0
3.0730303030303032,52.4,47.6,0.0,100.0
3.1133333333333333,55.0,45.0,0.0,100.0
3.153636363636364,52.0,48.0,0.0,100.0
3.193939393939394,57.2,42.8,0.0,100.0
3.2342424242424244,59.9,40.1,0.0,100.0
3.2745454545454544,60.5,39.5,0.0,100.0
3.314848484848485,64.3,35.7,0.0,100.0
3.355151515151515,63.6,36.4,0.0,100.0
3.3954545454545455,65.4,34.6,0.0,100.0
3.4357575757575756,65.5,34.5,0.0,100.0
3.476060606060606,67.2,32.8,0.0,100.0
3.5163636363636366,72.1,27.9,0.0,100.0
3.5566666666666666,69.9,30.1,0.0,100.0
3.596969696969697,74.7,25.3,0.0,100.0
3.637272727272727,72.8,27.2,0.0,100.0
3.6775757575757577,75.9,24.1,0.0,100.0
3.717878787878788,77.7,22.3,0.0,100.0
3.7581818181818183,76.6,23.4,0.0,100.0
3.7984848484848484,77.3,22.7,0.0,100.0
3.838787878787879,79.5,20.5,0.0,100.0
3.879090909090909,79.9,20.1,0.0,100.0
3.9193939393939394,79.8,20.2,0.0,100.0
3.95969696969697,82.2,17.8,0.0,100.0
4.0,84.2,15.8,0.0,100.0
