Sa,0,Repair,Demolishment,Collapse
0.01,0.0,1.0,1.0,1.0
0.05030303030303031,0.0,1.0,1.0,1.0
0.0906060606060606,0.0,1.0,1.0,1.0
0.13090909090909092,0.0,1.0,1.0,1.0
0.17121212121212123,0.0,1.0,1.0,1.0
0.21151515151515154,0.0,1.0,1.0,1.0
0.25181818181818183,0.0,1.0,1.0,1.0
0.29212121212121217,0.0,1.0,1.0,1.0
0.33242424242424246,0.0,0.97184785596337,1.0,1.0
0.37272727272727274,0.0,0.9638725275657943,1.0,1.0
0.4130303030303031,0.0,0.8391963613102567,1.0,1.0
0.45333333333333337,0.0,0.67393628738434,1.0,1.0
0.49363636363636365,0.0,0.6160200229645862,1.0,1.0
0.5339393939393939,0.0,0.4637836462834724,1.0,1.0
0.5742424242424243,0.0,0.3228019648430266,1.0,1.0
0.6145454545454546,0.0,0.21821578674497108,1.0,1.0
0.6548484848484849,0.0,0.17597834666513062,1.0000000000000002,1.0
0.6951515151515152,0.0,0.13164194617397937,1.0,1.0
0.7354545454545455,0.0,0.08286407920623497,1.0,1.0
0.7757575757575759,0.0,0.07105904764387713,1.0,1.0
0.8160606060606062,0.0,0.03743592952541485,1.0,1.0
0.8563636363636364,0.0,0.026573111612591186,1.0,1.0
0.8966666666666667,0.0,0.0176343286363966,1.0000000000000002,1.0
0.936969696969697,0.0,0.014896541550181308,1.0,1.0
0.9772727272727273,0.0,0.007925545715396309,0.9999999999999999,1.0
1.0175757575757576,0.0,0.006936929458709081,1.0,1.0
1.0578787878787879,0.0,0.004757102946327879,1.0,1.0
1.0981818181818184,0.0,0.0029513956602553373,1.0,1.0
1.1384848484848487,0.0,0.001422526997789911,0.9989974121757006,1.0
1.178787878787879,0.0,0.0011950464519189772,0.9989971837815783,1.0
1.2190909090909092,0.0,0.00036410586610343597,0.9969980904080062,1.0
1.2593939393939395,0.0,0.00040834701138720686,0.9989994077547663,1.0
1.2996969696969698,0.0,0.000746277488661717,1.0,1.0
1.34,0.0,0.0003874621861445181,0.9949969342451759,1.0
1.3803030303030304,0.0,0.0,0.9940000000000001,1.0
1.4206060606060606,0.0,0.0,0.997,1.0
1.460909090909091,0.0,0.0,0.996,1.0
1.5012121212121212,0.0,0.0,0.988,1.0
1.5415151515151517,0.0,0.0,0.9890000000000001,1.0
1.581818181818182,0.0,0.0,0.977,1.0
1.6221212121212123,0.0,0.0,0.977,1.0
1.6624242424242426,0.0,0.0,0.976,1.0
1.7027272727272729,0.0,0.0,0.961,1.0
1.7430303030303032,0.0,0.0003441732458161076,0.9659776795699276,1.0
1.7833333333333334,0.0,0.0,0.958,1.0
1.8236363636363637,0.0,0.0,0.945,1.0
1.863939393939394,0.0,0.0,0.9390000000000001,1.0
1.9042424242424243,0.0,0.0,0.9490000000000001,1.0
1.9445454545454546,0.0,0.0,0.938,1.0
1.984848484848485,0.0,0.0,0.9079999999999999,1.0
2.025151515151515,0.0,0.0,0.92,1.0
2.0654545454545454,0.0,0.0,0.9009999999999999,1.0
2.1057575757575755,0.0,0.0,0.873,1.0
2.146060606060606,0.0,0.0,0.878,1.0
2.1863636363636365,0.0,0.0,0.847,1.0
2.2266666666666666,0.0,0.0,0.8490000000000001,1.0
2.266969696969697,0.0,0.0,0.8340000000000001,1.0
2.307272727272727,0.0,0.0,0.792,1.0
2.3475757575757576,0.0,0.0,0.77,1.0
2.3878787878787877,0.0,0.0,0.7659999999999999,1.0
2.428181818181818,0.0,0.0,0.738,1.0
2.4684848484848483,0.0,0.0,0.7490000000000001,1.0
2.508787878787879,0.0,0.0,0.7290000000000001,1.0
2.549090909090909,0.0,0.0,0.674,1.0
2.5893939393939394,0.0,0.0,0.6890000000000001,1.0
2.62969696969697,0.0,0.0,0.6829999999999999,1.0
2.67,0.0,0.0,0.66,1.0
2.7103030303030304,0.0,0.0,0.632,1.0
2.7506060606060605,0.0,0.0,0.61,1.0
2.790909090909091,0.0,0.0,0.615,1.0
2.831212121212121,0.0,0.0,0.597,1.0
2.8715151515151516,0.0,0.0,0.55,1.0
2.9118181818181816,0.0,0.0,0.536,1.0
2.952121212121212,0.0,0.0,0.502,1.0
2.992424242424242,0.0,0.0,0.511,1.0
3.0327272727272727,0.0,0.0,0.491,1.0
3.0730303030303032,0.0,0.0,0.47600000000000003,1.0
3.1133333333333333,0.0,0.0,0.45,1.0
3.153636363636364,0.0,0.0,0.48,1.0
3.193939393939394,0.0,0.0,0.428,1.0
3.2342424242424244,0.0,0.0,0.401,1.0
3.2745454545454544,0.0,0.0,0.395,1.0
3.314848484848485,0.0,0.0,0.35700000000000004,1.0
3.355151515151515,0.0,0.0,0.364,1.0
3.3954545454545455,0.0,0.0,0.34600000000000003,1.0
3.4357575757575756,0.0,0.0,0.345,1.0
3.476060606060606,0.0,0.0,0.32799999999999996,1.0
3.5163636363636366,0.0,0.0,0.27899999999999997,1.0
3.5566666666666666,0.0,0.0,0.301,1.0
3.596969696969697,0.0,0.0,0.253,1.0
3.637272727272727,0.0,0.0,0.272,1.0
3.6775757575757577,0.0,0.0,0.24100000000000002,1.0
3.717878787878788,0.0,0.0,0.223,1.0
3.7581818181818183,0.0,0.0,0.23399999999999999,1.0
3.7984848484848484,0.0,0.0,0.22699999999999998,1.0
3.838787878787879,0.0,0.0,0.205,1.0
3.879090909090909,0.0,0.0,0.201,1.0
3.9193939393939394,0.0,0.0,0.20199999999999999,1.0
3.95969696969697,0.0,0.0,0.17800000000000002,1.0
4.0,0.0,0.0,0.158,1.0
