Loss Ratio,Annual probability of exceedance
0.01,0.4493658660855262
0.02,0.31457190529063217
0.03,0.20548368025597194
0.04,0.13401977870833634
0.05,0.0983036494710786
0.060000000000000005,0.07769984561916168
0.06999999999999999,0.06472142283056842
0.08,0.05521548796242336
0.09,0.04608923484468294
0.09999999999999999,0.03842314090685292
0.11,0.033038024293717966
0.12,0.028359693810014953
0.13,0.025129872566745686
0.14,0.02193660402391544
0.15000000000000002,0.019256073256296493
0.16,0.017137841509176115
0.17,0.015209082608484933
0.18000000000000002,0.0135687661816863
0.19,0.011917413869198099
0.2,0.010677255180228712
0.21000000000000002,0.0096842374783553
0.22,0.0087394270573338
0.23,0.007894138948142516
0.24000000000000002,0.007244579811626474
0.25,0.006667471026944255
0.26,0.006158117442543503
0.27,0.00572455571307116
0.28,0.005396286568431052
0.29000000000000004,0.005077366424139567
0.3,0.0048071443439817434
0.31,0.004580067342531554
0.32,0.0044072588403283215
0.33,0.004273090786687988
0.34,0.004187712931560357
0.35000000000000003,0.0040980123725648234
0.36000000000000004,0.004053261818456351
0.37,0.0040245811552127655
0.38,0.004006107048712177
0.39,0.003994352722621574
0.4,0.0039875948768462125
0.41000000000000003,0.003983252722624367
0.42000000000000004,0.0039828683409146425
0.43,0.003982732292118805
0.44,0.003982374491170501
0.45,0.003982016690222198
0.46,0.003982016690222198
0.47000000000000003,0.003982016690222198
0.48000000000000004,0.003982016690222198
0.49,0.003982016690222198
0.5,0.003982016690222198
0.51,0.003982016690222198
0.52,0.003982016690222198
0.53,0.003982016690222198
0.54,0.003982016690222198
0.55,0.003982016690222198
0.56,0.003982016690222198
0.5700000000000001,0.003982016690222198
0.5800000000000001,0.003982016690222198
0.59,0.003982016690222198
0.6,0.003982016690222198
0.61,0.003982016690222198
0.62,0.003982016690222198
0.63,0.003982016690222198
0.64,0.003982016690222198
0.65,0.003982016690222198
0.66,0.003982016690222198
0.67,0.003982016690222198
0.68,0.003982016690222198
0.6900000000000001,0.003982016690222198
0.7000000000000001,0.003982016690222198
0.7100000000000001,0.003982016690222198
0.72,0.003982016690222198
0.73,0.003982016690222198
0.74,0.003982016690222198
0.75,0.003982016690222198
0.76,0.003982016690222198
0.77,0.003982016690222198
0.78,0.003982016690222198
0.79,0.003982016690222198
0.8,0.003982016690222198
0.81,0.003982016690222198
0.8200000000000001,0.003982016690222198
0.8300000000000001,0.003982016690222198
0.8400000000000001,0.003982016690222198
0.85,0.003982016690222198
0.86,0.003982016690222198
0.87,0.003982016690222198
0.88,0.003982016690222198
0.89,0.003982016690222198
0.9,0.003982016690222198
0.91,0.003982016690222198
0.92,0.003982016690222198
0.93,0.003982016690222198
0.9400000000000001,0.003982016690222198
0.9500000000000001,0.003982016690222198
0.9600000000000001,0.003982016690222198
0.97,0.003982016690222198
0.98,0.003982016690222198
0.99,0.003982016690222198
1.0,0.0
