Sa,0,S,NS,C
0.01,0.0,0.16087131294419227,0.23618866342193154,1.0
0.05030303030303031,0.0,0.42735138407984585,0.5993907941777026,1.0
0.0906060606060606,0.0,0.48523862712900556,0.6889252069453548,1.0
0.13090909090909092,0.0,0.5171450478439524,0.7278556933985394,1.0000000000000002
0.17121212121212123,0.0,0.536862986125225,0.7452534111291691,1.0
0.21151515151515154,0.0,0.5485699956888391,0.7577368384057529,0.9999999999999999
0.25181818181818183,0.0,0.561537156144603,0.7699792858209602,1.0
0.29212121212121217,0.0,0.5690619841116964,0.7718674400929857,1.0
0.33242424242424246,0.0,0.5790793390933724,0.7820247312548171,1.0
0.37272727272727274,0.0,0.5878121911769968,0.7883765153590427,1.0
0.4130303030303031,0.0,0.5892937652858046,0.7875985310985067,1.0
0.45333333333333337,0.0,0.5889084679974109,0.7867719531418587,1.0
0.49363636363636365,0.0,0.597472293565073,0.7915601030808407,1.0
0.5339393939393939,0.0,0.6003007240956515,0.7943167099572409,1.0
0.5742424242424243,0.0,0.6061292872936331,0.7965654636929211,1.0
0.6145454545454546,0.0,0.6070940605965974,0.7936322440232269,0.9999999999999999
0.6548484848484849,0.0,0.6159074438760351,0.8001152744624576,0.9999999999999998
0.6951515151515152,0.0,0.6155177325212191,0.7971342957146781,0.9999999999999999
0.7354545454545455,0.0,0.6208465949196619,0.8014062425481882,0.9999999999999999
0.7757575757575759,0.0,0.6172434730259703,0.7979106946198706,0.9999999999999999
0.8160606060606062,0.0,0.6073453572361711,0.7938348122049022,1.0
0.8563636363636364,0.0,0.6274685184906204,0.8052681710572898,1.0
0.8966666666666667,0.0,0.6047129929898162,0.7916199850577016,0.9999999999999999
0.936969696969697,0.0,0.6198849188818596,0.7996013083617325,1.0
0.9772727272727273,0.0,0.6169701258265876,0.793925832920152,1.0
1.0175757575757576,0.0,0.6090614986337529,0.7951140540782338,1.0
1.0578787878787879,0.0,0.594127058954376,0.7718781623213475,0.9999999999999999
1.0981818181818184,0.0,0.6279711799725527,0.7928576180281656,0.9999999999999999
1.1384848484848487,0.0,0.6372791388009224,0.7986727571431111,1.0
1.178787878787879,0.0,0.6028671636777975,0.7818414850315614,1.0
1.2190909090909092,0.0,0.6151667571427376,0.7779548005955987,1.0
1.2593939393939395,0.0,0.6506083633800256,0.809471988702218,1.0
1.2996969696969698,0.0,0.6452669313135793,0.817641097729105,1.0
1.34,0.0,0.6615276532880596,0.8154693349810459,1.0
