Sa,0,D,A,ED,L,LB,V
0.01,0.0,0.23618866342193157,1.0,1.0,1.0,1.0,1.0
0.05030303030303031,0.0,0.5993907941777026,1.0,1.0,1.0,1.0,1.0
0.0906060606060606,0.0,0.6889252069453548,1.0,1.0,1.0,1.0,1.0
0.13090909090909092,0.0,0.7278556933985393,1.0,1.0,1.0,1.0,1.0
0.17121212121212123,0.0,0.7452534111291691,1.0,1.0,1.0,1.0,1.0
0.21151515151515154,0.0,0.7577368384057529,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.25181818181818183,0.0,0.7699792858209603,1.0,1.0,1.0,1.0,1.0
0.29212121212121217,0.0,0.7718674400929857,1.0,1.0,1.0,1.0,1.0
0.33242424242424246,0.0,0.7820247312548171,1.0,1.0,1.0,1.0,1.0
0.37272727272727274,0.0,0.7883765153590429,1.0,1.0,1.0,1.0,1.0
0.4130303030303031,0.0,0.7875985310985066,1.0,1.0,1.0,1.0,1.0
0.45333333333333337,0.0,0.7867719531418588,1.0,1.0,1.0,1.0,1.0
0.49363636363636365,0.0,0.7915601030808406,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.5339393939393939,0.0,0.7943167099572408,1.0,1.0,1.0,1.0,1.0
0.5742424242424243,0.0,0.796565463692921,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.6145454545454546,0.0,0.793632244023227,1.0,1.0,1.0,1.0,1.0
0.6548484848484849,0.0,0.8001152744624577,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.6951515151515152,0.0,0.7971342957146782,1.0,1.0,1.0,1.0,1.0
0.7354545454545455,0.0,0.8014062425481882,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.7757575757575759,0.0,0.7979106946198706,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.8160606060606062,0.0,0.7938348122049022,1.0,1.0,1.0,1.0,1.0
0.8563636363636364,0.0,0.8052681710572897,1.0,1.0,1.0,1.0,1.0
0.8966666666666667,0.0,0.7916199850577017,1.0,1.0,1.0,1.0,1.0
0.936969696969697,0.0,0.7996013083617325,1.0,1.0,1.0,1.0,1.0
0.9772727272727273,0.0,0.7939258329201518,1.0,1.0,1.0,1.0,1.0
1.0175757575757576,0.0,0.7951140540782339,1.0,1.0,1.0,1.0,1.0
1.0578787878787879,0.0,0.7718781623213476,1.0,1.0,1.0,1.0,1.0
1.0981818181818184,0.0,0.7928576180281657,1.0,1.0,1.0,1.0,1.0
1.1384848484848487,0.0,0.7986727571431113,1.0,1.0,1.0,1.0,1.0
1.178787878787879,0.0,0.7818414850315614,1.0,1.0,1.0,1.0,1.0
1.2190909090909092,0.0,0.7779548005955988,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
1.2593939393939395,0.0,0.809471988702218,1.0,1.0,1.0,1.0,1.0
1.2996969696969698,0.0,0.8176410977291051,1.0,1.0,1.0,1.0,1.0
1.34,0.0,0.8154693349810459,1.0,1.0,1.0,1.0,1.0
